order_id,consumer_first_class,consumer_same_day,consumer_second_class,consumer_standard_class,consumer_total,corporate_first_class,corporate_same_day,corporate_second_class,corporate_standard_class,corporate_total,home_office_first_class,home_office_same_day,home_office_second_class,home_office_standard_class,home_office_total
CA-2011-100293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-2011-100706,0,0,0,0,129.44,0,0,0,0,0,0,0,0,0,0
CA-2011-100895,0,0,0,69.48,479.625,0,0,0,0,0,0,0,0,0,0
CA-2011-100916,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-101266,0,0,0,0,13.36,0,0,0,0,0,0,0,0,0,0
CA-2011-101560,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-101770,0,0,0,0,0,0,0,0,0,1.869,0,0,0,0,0
CA-2011-102274,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-102673,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-102988,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-103317,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-103366,0,0,0,0,149.95,0,0,0,0,0,0,0,0,0,0
CA-2011-103807,0,0,0,0,0,0,0,0,0,21.19,0,0,0,0,0
CA-2011-103989,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-104283,0,0,0,69.48,479.625,0,0,0,0,0,0,0,0,0,0
CA-2011-106054,0,0,0,0,0,0,0,0,0,12.78,0,0,0,0,0
CA-2011-106810,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-107573,0,0,0,23.472,23.472,0,0,0,0,0,0,0,0,0,0
CA-2011-107811,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-108707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-2011-109043,0,0,0,0,243.6,0,0,0,0,0,0,0,0,0,0
CA-2011-109232,0,0,0,0,479.625,0,0,0,0,0,0,0,0,0,0
CA-2011-110100,0,0,0,69.48,302.376,0,0,0,0,0,0,0,0,0,0
CA-2011-110408,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-110422,0,0,0,0,25.248,0,0,0,0,0,0,0,0,0,0
CA-2011-111500,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-111934,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-112718,0,0,0,0,0,0,0,0,0,1.167,0,0,0,0,0
CA-2011-113047,0,0,0,0,11.85,0,0,0,0,0,0,0,0,0,0
CA-2011-113166,0,0,0,0,9.568,0,0,0,0,0,0,0,0,0,0
CA-2011-114314,0,0,0,0,0,0,0,0,0,16.23,0,0,0,0,0
CA-2011-114321,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-114335,0,0,0,69.48,337.088,0,0,0,0,0,0,0,0,0,0
CA-2011-114790,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-115084,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-115357,0,0,0,0,62.91,0,0,0,0,0,0,0,0,0,0
CA-2011-116190,0,0,0,69.48,256.48,0,0,0,0,0,0,0,0,0,0
CA-2011-116239,0,0,0,0,354.9,0,0,0,0,0,0,0,0,0,0
CA-2011-116407,0,0,0,69.48,362.176,0,0,0,0,0,0,0,0,0,0
CA-2011-116568,0,0,0,69.48,186.304,0,0,0,0,0,0,0,0,0,0
CA-2011-117016,0,0,0,15.552,15.552,0,0,0,0,0,0,0,0,0,0
CA-2011-117345,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-117639,0,0,0,0,0,0,0,0,0,43.38,0,0,0,0,0
CA-2011-120432,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0
